
DATE,OSS_KEYWORD,USERS,SITE_VISITS,RANK,KEYWORD_CATEGORY
2021-01-26,face mask,89.843099674,91.754654987,7,Face Masks
2021-01-26,ssd,82.196878426,92.710432643,8,Computer
2021-01-26,gaming chair,82.196878426,85.064211394,8,Furniture
2021-01-26,eggs,82.196878426,82.196878426,8,Grocery
2021-01-27,n95 mask,291.116649961,299.706977337,1,Face Masks
2021-01-27,n95,142.217642112,145.081084571,2,Face Masks
2021-01-27,webcam,130.763872277,137.445238014,3,Computer
2021-01-27,ps5,118.355621623,122.173544902,4,Toy & Games
2021-01-27,monitor,97.357043593,108.810813428,5,Computer
2021-01-27,kn95 face mask,85.903273759,87.812235398,6,Face Masks
2021-01-27,headphones,85.903273759,90.675677857,6,Computer
2021-01-27,the expanse,78.267427203,88.766716218,8,Movie
2021-01-27,office chair,76.358465563,80.176388842,9,Furniture
2021-01-27,ssd,75.403984744,83.0398313,10,Computer
2021-01-28,n95 mask,153.744016007,156.608811337,1,Face Masks
2021-01-28,master,142.28483469,155.65387956,2,Miscellaneous
2021-01-28,n95 masks,139.420039361,141.329902914,3,Face Masks
2021-01-28,n95,119.366472055,119.366472055,4,Face Masks
2021-01-28,webcam,103.132631856,106.952358962,5,Computer
2021-01-28,ps5,91.673450539,94.538245868,6,Toy & Games
2021-01-28,nintendo switch,88.808655209,93.583314091,7,Toy & Games
2021-01-28,monitor,88.808655209,94.538245868,7,Computer
2021-01-28,eggs,86.898791656,88.808655209,9,Grocery
2021-01-28,face mask,82.124132774,86.898791656,10,Face Masks
2021-01-29,n95 mask,147.675003388,149.630963698,1,Face Masks
2021-01-29,master,135.93924153,145.719043078,2,Miscellaneous
2021-01-29,webcam,113.445697967,118.335598742,3,Computer
2021-01-29,ps5,101.709936108,105.621856728,4,Toy & Games
2021-01-29,eggs,96.820035334,98.775995644,5,Grocery
2021-01-29,nintendo switch,95.842055179,102.687916263,6,Toy & Games
2021-01-29,mouse pad,87.040233785,93.886094869,7,Computer
2021-01-29,monitor,81.172352856,82.150333011,8,Computer
2021-01-29,face mask,78.238412391,78.238412391,9,Face Masks
2021-01-29,n95,75.304471926,79.216392546,10,Face Masks
2021-01-30,n95 mask,139.032697153,142.537723132,1,Face Masks
2021-01-30,eggs,126.180935232,128.517619217,2,Grocery
2021-01-30,nintendo switch,114.497515303,114.497515303,3,Toy & Games
2021-01-30,bread,112.160831317,115.665857296,4,Grocery
2021-01-30,milk,109.824147331,112.160831317,5,Grocery
2021-01-30,master,106.319121353,109.824147331,6,Miscellaneous
2021-01-30,bananas,92.299017438,93.467359431,7,Grocery
2021-01-30,keyboard,87.625649466,88.793991459,8,Computer
2021-01-30,ps5,86.457307474,86.457307474,9,Toy & Games
2021-01-30,avocado,86.457307474,86.457307474,9,Grocery
2021-01-31,n95 mask,130.153656876,135.763728293,1,Face Masks
2021-01-31,eggs,126.787614026,132.397685443,2,Grocery
2021-01-31,ps5,109.957399775,111.079414058,3,Toy & Games
2021-01-31,nintendo switch,102.103299791,115.567471192,4,Toy & Games
2021-01-31,face mask,99.859271224,100.981285507,5,Face Masks
2021-01-31,webcam,97.615242657,108.835385491,6,Computer
2021-01-31,mouse pad,96.493228374,104.347328358,7,Computer
2021-01-31,bread,87.517114106,88.63912839,8,Grocery
2021-01-31,headphones,86.395099823,90.883156957,9,Computer
2021-01-31,monitor,84.151071256,87.517114106,10,Computer
2021-02-01,webcam,126.717063969,134.282261818,1,Computer
2021-02-01,nintendo switch,100.238871498,104.967120153,2,Toy & Games
2021-02-01,n95 mask,95.510622842,95.510622842,3,Face Masks
2021-02-01,ps5,92.673673649,92.673673649,4,Toy & Games
2021-02-01,monitor,90.782374187,96.456272573,5,Computer
2021-02-01,mouse pad,87.945424993,94.564973111,6,Computer
2021-02-01,valentines day gifts for her,83.217176338,84.162826069,7,Holiday
2021-02-01,eggs,83.217176338,87.945424993,7,Grocery
2021-02-01,office chair,80.380227145,86.999775262,9,Furniture
2021-02-01,laptop,75.651978489,79.434577413,10,Computer
2021-02-02,groundhog day,130.41263655,137.076055936,1,Miscellaneous
2021-02-02,webcam,111.374295448,115.181963668,2,Computer
2021-02-02,ps5,110.422378393,110.422378393,3,Toy & Games
2021-02-02,valentines day gifts for her,102.807041952,103.758959007,4,Holiday
2021-02-02,monitor,97.095539621,102.807041952,5,Computer
2021-02-02,eggs,88.528286125,96.143622566,6,Grocery
2021-02-02,headphones,85.67253496,85.67253496,7,Computer
2021-02-02,office chair,85.67253496,88.528286125,7,Furniture
2021-02-02,mouse pad,81.864866739,84.720617905,9,Computer
2021-02-02,nintendo switch,74.249530298,78.057198519,10,Toy & Games
2021-02-03,ps5,112.402645234,115.260339604,1,Toy & Games
2021-02-03,the expanse,106.687256493,113.355210024,2,Movie
2021-02-03,monitor,104.782126913,114.307774814,3,Computer
2021-02-03,webcam,100.971867752,110.497515653,4,Computer
2021-02-03,nintendo switch,99.066738172,102.876997332,5,Toy & Games
2021-02-03,valentines day gifts for her,95.256479011,98.114173382,6,Holiday
2021-02-03,rtx 3080,89.541090271,94.303914221,7,Graphics card
2021-02-03,keyboard,80.96800716,84.77826632,8,Computer
2021-02-03,eggs,77.157747999,82.87313674,9,Grocery
2021-02-03,matcha green tea powder by enzo organic selection,76.205183209,88.588525481,10,Grocery
2021-02-04,ps5,139.918981852,141.835680233,1,Toy & Games
2021-02-04,webcam,113.08520451,118.835299655,2,Computer
2021-02-04,eggs,105.418410984,109.251807747,3,Grocery
2021-02-04,nintendo switch,82.418030406,86.251427169,4,Toy & Games
2021-02-04,valentines day gifts for her,81.459681215,83.376379596,5,Holiday
2021-02-04,face mask,78.584633643,81.459681215,6,Face Masks
2021-02-04,the expanse,73.792887689,74.75123688,7,Movie
2021-02-04,playstation 5,73.792887689,75.70958607,7,Toy & Games
2021-02-04,keyboard,72.834538498,74.75123688,9,Computer
2021-02-04,laptop,72.834538498,81.459681215,9,Computer
2021-02-05,valentines day gifts for her,96.237531663,100.16559418,1,Holiday
2021-02-05,ps5,91.327453517,92.309469146,2,Toy & Games
2021-02-05,eggs,89.363422259,89.363422259,3,Grocery
2021-02-05,webcam,86.417375371,89.363422259,4,Computer
2021-02-05,monitor,79.543265967,83.471328483,5,Computer
2021-02-05,matcha green tea powder by enzo organic selection,78.561250337,90.345437888,6,Grocery
2021-02-05,mouse pad,73.651172191,80.525281596,7,Computer
2021-02-05,headphones,72.669156562,74.63318782,8,Computer
2021-02-05,laptop,68.741094045,73.651172191,9,Computer
2021-02-05,nintendo switch,67.759078416,71.687140933,10,Toy & Games
2021-02-06,eggs,120.328601446,122.665079144,1,Grocery
2021-02-06,monitor,119.160362597,125.001556842,2,Computer
2021-02-06,matcha green tea powder by enzo organic selection,116.823884899,133.179228785,3,Grocery
2021-02-06,webcam,102.805018711,109.814451805,4,Computer
2021-02-06,ps5,94.627346769,96.963824467,5,Toy & Games
2021-02-06,valentines day gifts for her,93.45910792,94.627346769,6,Holiday
2021-02-06,laptop,92.290869071,98.132063316,7,Computer
2021-02-06,bread,85.281435977,87.617913675,8,Grocery
2021-02-06,nintendo switch,82.944958279,91.122630222,9,Toy & Games
2021-02-06,avocado,80.608480581,80.608480581,10,Grocery
2021-02-07,matcha green tea powder by enzo organic selection,124.985910164,145.625785237,1,Grocery
2021-02-07,valentines day gifts for her,119.252611533,122.692590711,2,Holiday
2021-02-07,eggs,104.346035091,111.225993449,3,Grocery
2021-02-07,nintendo switch,92.879437828,94.026097554,4,Toy & Games
2021-02-07,chocolate,88.292798923,90.586118376,5,Grocery
2021-02-07,bread,88.292798923,88.292798923,5,Grocery
2021-02-07,webcam,87.146139197,90.586118376,7,Computer
2021-02-07,ps5,87.146139197,88.292798923,7,Toy & Games
2021-02-07,toilet paper,83.706160018,84.852819744,9,Grocery
2021-02-07,monitor,81.412840565,92.879437828,10,Computer
2021-02-08,valentines day gifts for her,170.519050909,180.09877287,1,Holiday
2021-02-08,monitor,95.797219612,97.713164004,2,Computer
2021-02-08,eggs,92.923303023,93.88127522,3,Grocery
2021-02-08,ps5,82.385608866,84.301553258,4,Toy & Games
2021-02-08,webcam,81.42763667,84.301553258,5,Computer
2021-02-08,keyboard,79.511692278,80.469664474,6,Computer
2021-02-08,headphones,77.595747886,79.511692278,7,Computer
2021-02-08,n95 mask,77.595747886,80.469664474,7,Face Masks
2021-02-08,laptop stand,75.679803493,81.42763667,9,Computer
2021-02-08,face mask,74.721831297,76.637775689,10,Face Masks
2021-02-08,valentines day gifts for him,74.721831297,78.553720082,10,Holiday
2021-02-08,nintendo switch,74.721831297,74.721831297,10,Toy & Games
2021-02-09,valentines day gifts for her,212.251191852,220.8559699,1,Holiday
2021-02-09,ps5,118.554719773,121.422979123,2,Toy & Games
2021-02-09,webcam,111.862114625,117.598633324,3,Computer
2021-02-09,chocolate,85.091694031,87.00386693,4,Grocery
2021-02-09,monitor,78.399088882,81.267348232,5,Computer
2021-02-09,mouse pad,75.530829533,78.399088882,6,Computer
2021-02-09,eggs,75.530829533,77.443002433,6,Grocery
2021-02-09,gaming chair,73.618656633,75.530829533,8,Furniture
2021-02-09,valentines day gifts for him,71.706483734,71.706483734,9,Holiday
2021-02-09,laptop stand,71.706483734,72.662570184,9,Computer
2021-02-10,valentines day gifts for her,206.395352756,222.7149853,1,Holiday
2021-02-10,ps5,109.43753588,111.35749265,2,Toy & Games
